"Symbol","Entry.Date","Buy.Price","Sell.Price","No.Shares","Dollar.PL","Percent.PL"
"JBLU","02/24/15",17.75,17.31,25,-11,-15.4929577464789
"DIS","02/24/15",104.52,103.82,10,-7.00000000000003,-0.669728281668583
"UA","02/26/15",77,75.1,15,-28.5000000000001,-5.55194805194807
"QCOM","03/03/15",72.01,69.42,10,-25.9,-3.59672267740592
"SHAK","03/13/15",48,45.9,14,-29.4,-8.575
"AAPL","03/13/15",125.74,123.38,17,-40.12,-5.42420868458724
"ESPR","03/13/15",73.4,88.5,10,151,20.5722103814714
"FB","03/20/15",84.2,82.55,12,-15.36,-2.18907363420428
"RHT","04/01/15",75,73.93,12,-12.8399999999999,-2.05439999999999
"AEO","04/06/15",17.55,16.96,14,-8.26,-6.58917378917379
"ESPR2","03/27/15",92,101.22,1,9.22,0.100217391304348
